video,pixels,projection,seconds
demo.avi,69120,gaussian,0.0021151999826543033
demo.avi,69120,rademacher,0.0018105999915860593
demo.avi,69120,achlioptas,0.002237599983345717
demo.avi,69120,sparse_jl,0.0019980999641120434
demo.avi,69120,srht,0.00228899996727705
demo.avi,69120,srft,0.001980200002435595
demo.avi,69120,block_sparse,0.0016319999704137444
highway.mpg,2304000,gaussian,0.09704359999159351
highway.mpg,2304000,rademacher,0.0972312000230886
highway.mpg,2304000,achlioptas,0.09663410001667216
highway.mpg,2304000,sparse_jl,0.09057140001095831
highway.mpg,2304000,srht,0.106818399974145
highway.mpg,2304000,srft,0.0979331000125967
highway.mpg,2304000,block_sparse,0.09318589995382354
forbiggerblazes.mp4,27648000,gaussian,1.25603410002077
forbiggerblazes.mp4,27648000,rademacher,1.2502953999792226
forbiggerblazes.mp4,27648000,achlioptas,1.2481542999739759
forbiggerblazes.mp4,27648000,sparse_jl,1.1699208000209183
forbiggerblazes.mp4,27648000,srht,1.3956795000121929
forbiggerblazes.mp4,27648000,srft,1.2700335999834351
forbiggerblazes.mp4,27648000,block_sparse,1.1998033999698237
